NOTE_ID,SECURITY_ID,TICKER,ANALYST_NAME,NOTE_TEXT,NOTE_DATE,RECOMMENDATION,SENTIMENT
NOTE0018,SEC025,ASML,A. Okafor,Maintaining Sell on ASML Holding (ASML). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.7% provides downside support. Watch for Q3 earnings release in the coming quarter as a potential positive catalyst.,2025-02-08,Sell,Neutral
NOTE0019,SEC038,FTS,B. O'Brien,Sector update -- real estate sector showing cautious momentum heading into 2026. Fortis Inc (FTS) is our top pick given market share gains. Peer NVDA remains our underperform call. consumer spending slowdown supports the cautious view.,2025-06-07,Buy,Neutral
NOTE0020,SEC010,BCE,B. O'Brien,We are upgrading BCE Inc (BCE) to Overweight. Q1 earnings came in 7.3% above consensus driven by stronger wealth management. We raise our 12-month price target to $115 (from $115). Key risk: concentration.,2024-07-25,Overweight,Neutral
NOTE0021,SEC032,CRT,B. O'Brien,RISK FLAG -- CT Real Estate REIT (CRT): Flagging elevated liquidity risk following recent regulatory review announcement. Recommend reviewing client exposure limits. Current portfolio weight of 5.7% warrants monitoring. Suggest reducing to below 5.0% for conservative and moderate risk profiles.,2025-03-17,Overweight,Positive
NOTE0022,SEC020,PG,M. Chen,Maintaining Market Perform on Procter & Gamble (PG). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 5.4% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2024-05-11,Market Perform,Neutral
NOTE0023,SEC023,SHEL,M. Chen,RISK FLAG -- Shell PLC (SHEL): Flagging elevated currency risk following recent regulatory review announcement. Recommend reviewing client exposure limits. Current portfolio weight of 4.9% warrants monitoring. Suggest reducing to below 3.9% for conservative and moderate risk profiles.,2025-04-16,Market Perform,Negative
NOTE0024,SEC028,PROV.ON.5Y,B. O'Brien,RISK FLAG -- Province of Ontario 5-Year Bond (PROV.ON.5Y): Flagging elevated geopolitical risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 5.3% warrants monitoring. Suggest reducing to below 4.1% for conservative and moderate risk profiles.,2025-10-12,Underweight,Positive
NOTE0025,SEC035,AQN,R. Singh,Initiating coverage of Algonquin Power & Utilities (AQN) with a Hold recommendation and $227 12-month price target. The company's pipeline throughput segment shows strong momentum with 15.2% YoY revenue growth. Valuation appears compelling at 24.1x forward earnings versus the sector average of 17.5x.,2025-03-19,Hold,Negative
NOTE0026,SEC035,AQN,L. Tremblay,Downgrading Algonquin Power & Utilities (AQN) to Sell following weaker-than-expected margin guidance. Management cited energy cost pressures and commodity price volatility headwinds. Reducing price target to $343. Recommend trimming positions above 5% portfolio weight.,2025-01-08,Sell,Neutral
NOTE0027,SEC010,BCE,R. Singh,Downgrading BCE Inc (BCE) to Hold following weaker-than-expected margin guidance. Management cited material cost pressures and consumer spending slowdown headwinds. Reducing price target to $602. Recommend trimming positions above 5% portfolio weight.,2025-04-20,Hold,Neutral
NOTE0028,SEC036,BIP,A. Okafor,Maintaining Overweight on Brookfield Infrastructure (BIP). Q3 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 6.8% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2024-08-29,Overweight,Positive
NOTE0029,SEC037,TRP,B. O'Brien,RISK FLAG -- TC Energy (TRP): Flagging elevated liquidity risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 10.7% warrants monitoring. Suggest reducing to below 7.2% for conservative and moderate risk profiles.,2025-02-22,Market Perform,Neutral
NOTE0030,SEC038,FTS,R. Singh,Maintaining Buy on Fortis Inc (FTS). Q3 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.5% provides downside support. Watch for Q3 earnings release in the coming quarter as a potential positive catalyst.,2025-07-19,Buy,Neutral
NOTE0031,SEC020,PG,R. Singh,Sector update -- healthcare sector showing cautious momentum heading into Q3 2025. Procter & Gamble (PG) is our top pick given dividend growth track record. Peer TD remains our underperform call. USD strength supports the cautious view.,2024-03-23,Market Perform,Neutral
NOTE0032,SEC031,REI,L. Tremblay,Maintaining Market Perform on RioCan REIT (REI). Q1 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.0% provides downside support. Watch for dividend announcement in the coming quarter as a potential positive catalyst.,2025-10-05,Market Perform,Neutral
NOTE0033,SEC021,NESN,J. Nakamura,We are upgrading Nestle SA (NESN) to Underweight. Q3 earnings came in 18.4% above consensus driven by stronger pharmaceutical pipeline. We raise our 12-month price target to $106 (from $98). Key risk: execution.,2025-01-11,Underweight,Positive
NOTE0034,SEC026,CAN.GOV.2Y,M. Chen,RISK FLAG -- Government of Canada 2-Year Bond (CAN.GOV.2Y): Flagging elevated concentration risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 11.7% warrants monitoring. Suggest reducing to below 7.7% for conservative and moderate risk profiles.,2025-06-22,Overweight,Neutral
NOTE0035,SEC030,HYG,B. O'Brien,Maintaining Market Perform on iShares High Yield Bond ETF (HYG). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.7% provides downside support. Watch for dividend announcement in the coming quarter as a potential positive catalyst.,2024-09-11,Market Perform,Neutral
NOTE0036,SEC038,FTS,M. Chen,Sector update -- real estate sector showing cautious momentum heading into Q3 2025. Fortis Inc (FTS) is our top pick given market share gains. Peer TD remains our underperform call. Bank of Canada rate cut expectations supports the cautious view.,2024-09-16,Market Perform,Negative
NOTE0037,SEC040,HBF,B. O'Brien,Initiating coverage of Horizons Bitcoin ETF (HBF) with a Overweight recommendation and $782 12-month price target. The company's pharmaceutical pipeline segment shows strong momentum with 5.0% YoY revenue growth. Valuation appears compelling at 25.8x forward earnings versus the sector average of 10.5x.,2024-10-14,Overweight,Negative
NOTE0038,SEC024,NOVO,B. O'Brien,Initiating coverage of Novo Nordisk (NOVO) with a Overweight recommendation and $724 12-month price target. The company's wealth management segment shows strong momentum with 21.1% YoY revenue growth. Valuation appears compelling at 26.5x forward earnings versus the sector average of 16.2x.,2025-03-22,Overweight,Positive
NOTE0039,SEC032,CRT,A. Okafor,Maintaining Buy on CT Real Estate REIT (CRT). Q3 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 7.2% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2025-03-02,Buy,Positive
NOTE0040,SEC016,JNJ,M. Chen,Sector update -- energy sector showing neutral momentum heading into Q3 2025. Johnson & Johnson (JNJ) is our top pick given strong balance sheet. Peer AAPL remains our underperform call. commodity price volatility supports the neutral view.,2025-11-02,Overweight,Negative
NOTE0041,SEC029,CORP.BOND.A,J. Nakamura,Sector update -- real estate sector showing positive momentum heading into H2 2025. Investment Grade Corporate Bond ETF (CORP.BOND.A) is our top pick given valuation discount. Peer CNQ remains our underperform call. commodity price volatility supports the positive view.,2025-02-16,Sell,Neutral
NOTE0042,SEC010,BCE,J. Nakamura,Initiating coverage of BCE Inc (BCE) with a Buy recommendation and $403 12-month price target. The company's pharmaceutical pipeline segment shows strong momentum with 20.5% YoY revenue growth. Valuation appears compelling at 14.2x forward earnings versus the sector average of 18.2x.,2025-10-07,Buy,Neutral
NOTE0043,SEC006,CNQ,R. Singh,RISK FLAG -- Canadian Natural Resources (CNQ): Flagging elevated concentration risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 7.9% warrants monitoring. Suggest reducing to below 6.0% for conservative and moderate risk profiles.,2025-08-05,Buy,Positive
NOTE0044,SEC036,BIP,B. O'Brien,We are upgrading Brookfield Infrastructure (BIP) to Buy. Q1 earnings came in 11.5% above consensus driven by stronger commercial lending. We raise our 12-month price target to $420 (from $421). Key risk: execution.,2025-11-17,Buy,Neutral
NOTE0045,SEC040,HBF,R. Singh,Initiating coverage of Horizons Bitcoin ETF (HBF) with a Sell recommendation and $774 12-month price target. The company's retail banking segment shows strong momentum with 6.3% YoY revenue growth. Valuation appears compelling at 11.7x forward earnings versus the sector average of 19.0x.,2025-09-25,Sell,Negative
NOTE0046,SEC024,NOVO,A. Okafor,Sector update -- infrastructure sector showing positive momentum heading into H2 2025. Novo Nordisk (NOVO) is our top pick given superior management execution. Peer JPM remains our underperform call. rising inflation supports the positive view.,2025-04-30,Market Perform,Neutral
NOTE0047,SEC002,TD,M. Chen,Downgrading Toronto-Dominion Bank (TD) to Buy following weaker-than-expected margin guidance. Management cited labour cost pressures and Bank of Canada rate cut expectations headwinds. Reducing price target to $724. Recommend trimming positions above 5% portfolio weight.,2025-05-14,Buy,Neutral
NOTE0048,SEC032,CRT,A. Okafor,RISK FLAG -- CT Real Estate REIT (CRT): Flagging elevated concentration risk following recent supply chain disruption. Recommend reviewing client exposure limits. Current portfolio weight of 1.2% warrants monitoring. Suggest reducing to below 0.9% for conservative and moderate risk profiles.,2024-10-21,Underweight,Negative
NOTE0049,SEC013,NVDA,A. Okafor,Initiating coverage of NVIDIA Corporation (NVDA) with a Overweight recommendation and $362 12-month price target. The company's semiconductor sales segment shows strong momentum with 15.5% YoY revenue growth. Valuation appears compelling at 21.7x forward earnings versus the sector average of 21.1x.,2024-06-26,Overweight,Positive
NOTE0050,SEC011,AAPL,L. Tremblay,Maintaining Underweight on Apple Inc (AAPL). Q1 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 2.3% provides downside support. Watch for regulatory approval in the coming quarter as a potential positive catalyst.,2025-05-13,Underweight,Neutral
NOTE0051,SEC022,SAP,L. Tremblay,We are upgrading SAP SE (SAP) to Sell. Q4 earnings came in 22.6% above consensus driven by stronger pharmaceutical pipeline. We raise our 12-month price target to $621 (from $632). Key risk: credit.,2025-01-05,Sell,Positive
NOTE0052,SEC019,UNH,L. Tremblay,Maintaining Market Perform on UnitedHealth Group (UNH). Q3 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 6.9% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2024-06-04,Market Perform,Negative
NOTE0053,SEC027,CAN.GOV.10Y,M. Chen,Downgrading Government of Canada 10-Year Bond (CAN.GOV.10Y) to Hold following weaker-than-expected margin guidance. Management cited labour cost pressures and USD strength headwinds. Reducing price target to $645. Recommend trimming positions above 5% portfolio weight.,2025-10-08,Hold,Negative
NOTE0054,SEC034,IIP,L. Tremblay,Maintaining Sell on Interrent REIT (IIP). Q1 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 7.5% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2024-11-04,Sell,Positive
NOTE0055,SEC003,BNS,M. Chen,Initiating coverage of Bank of Nova Scotia (BNS) with a Underweight recommendation and $324 12-month price target. The company's wealth management segment shows strong momentum with 22.2% YoY revenue growth. Valuation appears compelling at 18.4x forward earnings versus the sector average of 16.5x.,2025-01-16,Underweight,Neutral
NOTE0056,SEC033,AP,L. Tremblay,We are upgrading Allied Properties REIT (AP) to Sell. Q2 earnings came in 4.9% above consensus driven by stronger cloud services. We raise our 12-month price target to $57 (from $60). Key risk: currency.,2025-01-04,Sell,Neutral
NOTE0057,SEC007,SU,A. Okafor,Sector update -- healthcare sector showing cautious momentum heading into Q3 2025. Suncor Energy (SU) is our top pick given dividend growth track record. Peer CNQ remains our underperform call. consumer spending slowdown supports the cautious view.,2025-06-01,Hold,Positive
NOTE0058,SEC032,CRT,R. Singh,Maintaining Market Perform on CT Real Estate REIT (CRT). Q3 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 4.8% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2025-01-18,Market Perform,Neutral
NOTE0059,SEC019,UNH,K. Williams,We are upgrading UnitedHealth Group (UNH) to Overweight. Q4 earnings came in 15.6% above consensus driven by stronger retail banking. We raise our 12-month price target to $637 (from $569). Key risk: credit.,2025-01-21,Overweight,Neutral
NOTE0060,SEC039,GOLD.ETF,M. Chen,Downgrading iShares Gold Bullion ETF (GOLD.ETF) to Hold following weaker-than-expected margin guidance. Management cited material cost pressures and USD strength headwinds. Reducing price target to $414. Recommend trimming positions above 5% portfolio weight.,2025-08-08,Hold,Negative
NOTE0061,SEC020,PG,S. Patel,Sector update -- technology sector showing positive momentum heading into Q3 2025. Procter & Gamble (PG) is our top pick given market share gains. Peer JPM remains our underperform call. consumer spending slowdown supports the positive view.,2025-06-30,Underweight,Negative
NOTE0062,SEC021,NESN,K. Williams,RISK FLAG -- Nestle SA (NESN): Flagging elevated regulatory risk following recent regulatory review announcement. Recommend reviewing client exposure limits. Current portfolio weight of 4.5% warrants monitoring. Suggest reducing to below 3.0% for conservative and moderate risk profiles.,2024-07-04,Overweight,Positive
NOTE0063,SEC004,BMO,J. Nakamura,Maintaining Sell on Bank of Montreal (BMO). Q1 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 7.4% provides downside support. Watch for regulatory approval in the coming quarter as a potential positive catalyst.,2025-10-10,Sell,Positive
NOTE0064,SEC002,TD,R. Singh,RISK FLAG -- Toronto-Dominion Bank (TD): Flagging elevated liquidity risk following recent credit rating downgrade. Recommend reviewing client exposure limits. Current portfolio weight of 5.5% warrants monitoring. Suggest reducing to below 3.4% for conservative and moderate risk profiles.,2025-10-30,Sell,Positive
NOTE0065,SEC001,RY,K. Williams,Maintaining Buy on Royal Bank of Canada (RY). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.3% provides downside support. Watch for Q3 earnings release in the coming quarter as a potential positive catalyst.,2025-11-29,Buy,Neutral
NOTE0066,SEC017,XOM,S. Patel,Maintaining Market Perform on ExxonMobil Corporation (XOM). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 4.0% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2025-07-05,Market Perform,Positive
NOTE0067,SEC029,CORP.BOND.A,R. Singh,We are upgrading Investment Grade Corporate Bond ETF (CORP.BOND.A) to Market Perform. Q4 earnings came in 21.0% above consensus driven by stronger cloud services. We raise our 12-month price target to $295 (from $323). Key risk: geopolitical.,2024-08-14,Market Perform,Positive
NOTE0068,SEC032,CRT,R. Singh,We are upgrading CT Real Estate REIT (CRT) to Sell. Q4 earnings came in 18.3% above consensus driven by stronger wealth management. We raise our 12-month price target to $239 (from $268). Key risk: geopolitical.,2025-08-06,Sell,Positive
NOTE0069,SEC034,IIP,M. Chen,Initiating coverage of Interrent REIT (IIP) with a Market Perform recommendation and $170 12-month price target. The company's retail banking segment shows strong momentum with 24.8% YoY revenue growth. Valuation appears compelling at 21.9x forward earnings versus the sector average of 16.4x.,2024-08-17,Market Perform,Positive
NOTE0070,SEC018,V,J. Nakamura,RISK FLAG -- Visa Inc (V): Flagging elevated geopolitical risk following recent regulatory review announcement. Recommend reviewing client exposure limits. Current portfolio weight of 9.1% warrants monitoring. Suggest reducing to below 8.1% for conservative and moderate risk profiles.,2024-01-25,Overweight,Negative
NOTE0071,SEC022,SAP,M. Chen,Downgrading SAP SE (SAP) to Sell following weaker-than-expected margin guidance. Management cited energy cost pressures and Bank of Canada rate cut expectations headwinds. Reducing price target to $104. Recommend trimming positions above 5% portfolio weight.,2025-03-28,Sell,Positive
NOTE0072,SEC020,PG,K. Williams,Sector update -- energy sector showing neutral momentum heading into Q3 2025. Procter & Gamble (PG) is our top pick given strong balance sheet. Peer JPM remains our underperform call. commodity price volatility supports the neutral view.,2025-08-24,Underweight,Positive
NOTE0073,SEC007,SU,A. Okafor,We are upgrading Suncor Energy (SU) to Buy. Q4 earnings came in 20.2% above consensus driven by stronger wealth management. We raise our 12-month price target to $484 (from $421). Key risk: geopolitical.,2024-05-30,Buy,Neutral
NOTE0074,SEC020,PG,K. Williams,Initiating coverage of Procter & Gamble (PG) with a Underweight recommendation and $247 12-month price target. The company's semiconductor sales segment shows strong momentum with 13.9% YoY revenue growth. Valuation appears compelling at 21.2x forward earnings versus the sector average of 11.7x.,2025-09-22,Underweight,Neutral
NOTE0075,SEC027,CAN.GOV.10Y,K. Williams,Downgrading Government of Canada 10-Year Bond (CAN.GOV.10Y) to Sell following weaker-than-expected margin guidance. Management cited energy cost pressures and USD strength headwinds. Reducing price target to $102. Recommend trimming positions above 5% portfolio weight.,2024-01-31,Sell,Negative
NOTE0076,SEC008,CP,J. Nakamura,Initiating coverage of Canadian Pacific Kansas City (CP) with a Hold recommendation and $364 12-month price target. The company's wealth management segment shows strong momentum with 23.0% YoY revenue growth. Valuation appears compelling at 15.2x forward earnings versus the sector average of 21.7x.,2025-11-01,Hold,Positive
NOTE0077,SEC022,SAP,L. Tremblay,Initiating coverage of SAP SE (SAP) with a Hold recommendation and $376 12-month price target. The company's commercial lending segment shows strong momentum with 10.6% YoY revenue growth. Valuation appears compelling at 11.4x forward earnings versus the sector average of 16.3x.,2024-02-17,Hold,Negative
NOTE0078,SEC038,FTS,B. O'Brien,RISK FLAG -- Fortis Inc (FTS): Flagging elevated credit risk following recent merger integration challenges. Recommend reviewing client exposure limits. Current portfolio weight of 6.6% warrants monitoring. Suggest reducing to below 5.1% for conservative and moderate risk profiles.,2024-07-02,Hold,Neutral
NOTE0079,SEC024,NOVO,S. Patel,Sector update -- infrastructure sector showing positive momentum heading into 2026. Novo Nordisk (NOVO) is our top pick given superior management execution. Peer V remains our underperform call. rising inflation supports the positive view.,2024-05-17,Underweight,Positive
NOTE0080,SEC019,UNH,S. Patel,RISK FLAG -- UnitedHealth Group (UNH): Flagging elevated concentration risk following recent earnings restatement. Recommend reviewing client exposure limits. Current portfolio weight of 5.5% warrants monitoring. Suggest reducing to below 4.6% for conservative and moderate risk profiles.,2024-10-10,Overweight,Positive
NOTE0081,SEC007,SU,A. Okafor,We are upgrading Suncor Energy (SU) to Buy. Q2 earnings came in 9.7% above consensus driven by stronger wealth management. We raise our 12-month price target to $301 (from $305). Key risk: currency.,2025-02-11,Buy,Positive
NOTE0082,SEC015,JPM,M. Chen,Sector update -- energy sector showing positive momentum heading into Q3 2025. JPMorgan Chase (JPM) is our top pick given valuation discount. Peer BCE remains our underperform call. commodity price volatility supports the positive view.,2025-05-26,Market Perform,Negative
NOTE0083,SEC023,SHEL,J. Nakamura,Downgrading Shell PLC (SHEL) to Sell following weaker-than-expected margin guidance. Management cited energy cost pressures and consumer spending slowdown headwinds. Reducing price target to $347. Recommend trimming positions above 5% portfolio weight.,2024-07-11,Sell,Neutral
NOTE0084,SEC007,SU,M. Chen,RISK FLAG -- Suncor Energy (SU): Flagging elevated geopolitical risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 10.1% warrants monitoring. Suggest reducing to below 7.9% for conservative and moderate risk profiles.,2025-01-12,Sell,Negative
NOTE0085,SEC001,RY,B. O'Brien,Initiating coverage of Royal Bank of Canada (RY) with a Hold recommendation and $691 12-month price target. The company's wealth management segment shows strong momentum with 5.6% YoY revenue growth. Valuation appears compelling at 10.2x forward earnings versus the sector average of 16.4x.,2024-10-09,Hold,Positive
NOTE0086,SEC001,RY,B. O'Brien,Maintaining Hold on Royal Bank of Canada (RY). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 7.3% provides downside support. Watch for analyst day in the coming quarter as a potential positive catalyst.,2025-01-28,Hold,Negative
NOTE0087,SEC012,MSFT,A. Okafor,RISK FLAG -- Microsoft Corporation (MSFT): Flagging elevated execution risk following recent regulatory review announcement. Recommend reviewing client exposure limits. Current portfolio weight of 6.9% warrants monitoring. Suggest reducing to below 5.5% for conservative and moderate risk profiles.,2024-09-15,Market Perform,Positive
NOTE0088,SEC033,AP,A. Okafor,Maintaining Buy on Allied Properties REIT (AP). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 4.4% provides downside support. Watch for contract renewal in the coming quarter as a potential positive catalyst.,2025-04-27,Buy,Neutral
NOTE0089,SEC011,AAPL,J. Nakamura,We are upgrading Apple Inc (AAPL) to Hold. Q4 earnings came in 4.9% above consensus driven by stronger cloud services. We raise our 12-month price target to $493 (from $445). Key risk: regulatory.,2025-12-07,Hold,Neutral
NOTE0090,SEC029,CORP.BOND.A,S. Patel,RISK FLAG -- Investment Grade Corporate Bond ETF (CORP.BOND.A): Flagging elevated geopolitical risk following recent supply chain disruption. Recommend reviewing client exposure limits. Current portfolio weight of 2.0% warrants monitoring. Suggest reducing to below 1.5% for conservative and moderate risk profiles.,2024-11-30,Buy,Neutral
NOTE0091,SEC036,BIP,S. Patel,Downgrading Brookfield Infrastructure (BIP) to Market Perform following weaker-than-expected margin guidance. Management cited labour cost pressures and commodity price volatility headwinds. Reducing price target to $507. Recommend trimming positions above 5% portfolio weight.,2024-08-11,Market Perform,Neutral
NOTE0092,SEC020,PG,L. Tremblay,Maintaining Underweight on Procter & Gamble (PG). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.0% provides downside support. Watch for Q3 earnings release in the coming quarter as a potential positive catalyst.,2025-05-30,Underweight,Negative
NOTE0093,SEC001,RY,R. Singh,We are upgrading Royal Bank of Canada (RY) to Hold. Q3 earnings came in 9.1% above consensus driven by stronger energy production. We raise our 12-month price target to $501 (from $561). Key risk: regulatory.,2024-11-21,Hold,Negative
NOTE0094,SEC003,BNS,M. Chen,Maintaining Underweight on Bank of Nova Scotia (BNS). Q2 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 3.5% provides downside support. Watch for contract renewal in the coming quarter as a potential positive catalyst.,2025-10-11,Underweight,Positive
NOTE0095,SEC014,AMZN,B. O'Brien,We are upgrading Amazon.com Inc (AMZN) to Hold. Q2 earnings came in 20.3% above consensus driven by stronger energy production. We raise our 12-month price target to $155 (from $157). Key risk: concentration.,2024-03-22,Hold,Neutral
NOTE0096,SEC026,CAN.GOV.2Y,B. O'Brien,Downgrading Government of Canada 2-Year Bond (CAN.GOV.2Y) to Overweight following weaker-than-expected margin guidance. Management cited energy cost pressures and consumer spending slowdown headwinds. Reducing price target to $387. Recommend trimming positions above 5% portfolio weight.,2024-10-17,Overweight,Neutral
NOTE0097,SEC036,BIP,S. Patel,Maintaining Underweight on Brookfield Infrastructure (BIP). Q4 2024 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 2.1% provides downside support. Watch for contract renewal in the coming quarter as a potential positive catalyst.,2025-01-29,Underweight,Negative
NOTE0098,SEC011,AAPL,B. O'Brien,Maintaining Hold on Apple Inc (AAPL). Q1 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 5.8% provides downside support. Watch for regulatory approval in the coming quarter as a potential positive catalyst.,2025-11-28,Hold,Positive
NOTE0099,SEC017,XOM,R. Singh,RISK FLAG -- ExxonMobil Corporation (XOM): Flagging elevated geopolitical risk following recent supply chain disruption. Recommend reviewing client exposure limits. Current portfolio weight of 5.2% warrants monitoring. Suggest reducing to below 4.2% for conservative and moderate risk profiles.,2025-02-25,Hold,Negative
