POSITION_ID,CLIENT_ID,SECURITY_ID,TICKER,QUANTITY,MARKET_VALUE,COST_BASIS,UNREALIZED_GAIN_LOSS,ASSET_CLASS,CURRENCY,AS_OF_DATE,STATUS
POS00020,CLI0004,SEC042,MFC,1031.57,316607.34,429514.8,-112907.46,Canadian Equity,Canada,2024-08-15,Active
POS00021,CLI0005,SEC002,TD,1008.99,195847.98,122804.17,73043.81,Canadian Equity,Canada,2025-01-18,Active
POS00022,CLI0005,SEC027,CAN.GOV.10Y,644.18,46271.95,34817.93,11454.02,Fixed Income,Canada,2024-12-09,Active
POS00023,CLI0005,SEC004,BMO,283.82,60011.07,41724.38,18286.69,Canadian Equity,Canada,2025-12-13,Active
POS00024,CLI0005,SEC026,CAN.GOV.2Y,1520.09,445165.84,360580.55,84585.29,Fixed Income,Canada,2024-03-22,Active
POS00025,CLI0006,SEC010,BCE,1221.67,363573.21,262060.43,101512.78,Canadian Equity,Canada,2024-08-31,Active
POS00026,CLI0006,SEC036,BIP,105.02,31382.99,22349.31,9033.68,Infrastructure,Canada,2025-04-13,Active
POS00027,CLI0006,SEC047,CASH.ETF,1675.01,490138.34,422806.02,67332.32,Cash,Canada,2025-10-09,Active
POS00028,CLI0007,SEC046,BAM,864.19,234850.15,267319.89,-32469.74,Canadian Equity,Canada,2025-03-02,Active
POS00029,CLI0007,SEC010,BCE,1339.75,351226.89,353854.77,-2627.88,Canadian Equity,Canada,2025-06-22,Active
POS00030,CLI0007,SEC019,UNH,1574.96,270146.62,403615.0,-133468.38,US Equity,United States,2025-04-26,Active
POS00031,CLI0008,SEC024,NOVO,1579.15,373495.7,277425.07,96070.63,International Equity,Denmark,2025-10-05,Active
POS00032,CLI0008,SEC017,XOM,1167.99,344345.75,443322.28,-98976.53,US Equity,United States,2024-12-26,Active
POS00033,CLI0008,SEC048,XAW,1628.88,207581.7,149319.43,58262.27,International Equity,Canada,2025-04-20,Closed
POS00034,CLI0008,SEC002,TD,962.28,71304.38,91637.92,-20333.54,Canadian Equity,Canada,2025-04-13,Active
POS00035,CLI0008,SEC023,SHEL,411.17,243219.08,163070.02,80149.06,International Equity,United Kingdom,2024-11-19,Pending Settlement
POS00036,CLI0009,SEC026,CAN.GOV.2Y,390.3,98702.95,70917.51,27785.44,Fixed Income,Canada,2025-11-02,Active
POS00037,CLI0009,SEC035,AQN,257.71,72112.78,48235.58,23877.2,Infrastructure,Canada,2025-03-26,Pending Settlement
POS00038,CLI0009,SEC031,REI,779.42,425646.89,379569.75,46077.14,Real Estate,Canada,2025-05-24,Active
POS00039,CLI0009,SEC017,XOM,1596.61,159379.59,218783.47,-59403.88,US Equity,United States,2025-03-10,Active
POS00040,CLI0009,SEC003,BNS,1208.88,581917.08,498131.09,83785.99,Canadian Equity,Canada,2024-11-24,Active
POS00041,CLI0009,SEC042,MFC,662.56,107653.84,100271.83,7382.01,Canadian Equity,Canada,2025-03-12,Active
POS00042,CLI0010,SEC023,SHEL,1996.32,444713.33,281281.49,163431.84,International Equity,United Kingdom,2024-02-28,Active
POS00043,CLI0010,SEC029,CORP.BOND.A,1278.65,333493.47,236345.67,97147.8,Fixed Income,Canada,2025-11-26,Active
POS00044,CLI0010,SEC003,BNS,71.97,39593.93,30593.73,9000.2,Canadian Equity,Canada,2025-03-24,Active
POS00045,CLI0010,SEC047,CASH.ETF,143.79,56019.71,56131.3,-111.59,Cash,Canada,2025-01-27,Pending Settlement
POS00046,CLI0010,SEC040,HBF,74.45,6493.36,6026.73,466.63,Alternatives,Canada,2025-01-14,Active
POS00047,CLI0011,SEC037,TRP,1063.63,272277.28,214885.17,57392.11,Infrastructure,Canada,2024-09-12,Closed
POS00048,CLI0011,SEC009,TRI,61.57,6825.83,5977.83,848.0,Canadian Equity,Canada,2025-07-29,Active
POS00049,CLI0012,SEC046,BAM,578.3,296181.08,265243.08,30938.0,Canadian Equity,Canada,2024-05-05,Active
POS00050,CLI0012,SEC029,CORP.BOND.A,157.36,18899.55,14234.79,4664.76,Fixed Income,Canada,2024-03-30,Active
POS00051,CLI0012,SEC014,AMZN,1935.45,1226460.45,954854.26,271606.19,US Equity,United States,2025-12-27,Active
POS00052,CLI0012,SEC040,HBF,1088.92,708809.0,485886.99,222922.01,Alternatives,Canada,2025-12-29,Active
POS00053,CLI0013,SEC024,NOVO,251.51,20549.42,26280.28,-5730.86,International Equity,Denmark,2025-05-20,Active
POS00054,CLI0013,SEC033,AP,1112.5,295015.79,208716.13,86299.66,Real Estate,Canada,2025-07-18,Active
POS00055,CLI0013,SEC015,JPM,1769.65,68327.71,66450.36,1877.35,US Equity,United States,2025-05-05,Active
POS00056,CLI0014,SEC037,TRP,157.59,42379.75,37126.63,5253.12,Infrastructure,Canada,2024-05-11,Pending Settlement
POS00057,CLI0014,SEC005,ENB,1562.72,413676.46,502727.02,-89050.56,Canadian Equity,Canada,2024-05-12,Active
POS00058,CLI0014,SEC009,TRI,1822.32,45384.37,59097.84,-13713.47,Canadian Equity,Canada,2024-06-05,Active
POS00059,CLI0014,SEC021,NESN,332.31,134314.66,155421.39,-21106.73,International Equity,Switzerland,2025-06-15,Pending Settlement
POS00060,CLI0014,SEC042,MFC,1693.41,273890.29,218534.56,55355.73,Canadian Equity,Canada,2025-07-18,Active
POS00061,CLI0015,SEC040,HBF,1285.56,460257.4,383032.6,77224.8,Alternatives,Canada,2024-06-24,Active
POS00062,CLI0015,SEC035,AQN,1444.06,637849.79,439774.03,198075.76,Infrastructure,Canada,2025-07-31,Active
POS00063,CLI0015,SEC006,CNQ,1728.92,121242.43,78164.47,43077.96,Canadian Equity,Canada,2025-08-13,Active
POS00064,CLI0015,SEC033,AP,429.51,153152.22,123789.08,29363.14,Real Estate,Canada,2024-02-01,Active
POS00065,CLI0016,SEC019,UNH,818.12,244871.48,187758.54,57112.94,US Equity,United States,2024-06-10,Active
POS00066,CLI0016,SEC042,MFC,973.66,126554.79,103198.22,23356.57,Canadian Equity,Canada,2024-11-16,Pending Settlement
POS00067,CLI0016,SEC020,PG,645.44,311909.44,318892.54,-6983.1,US Equity,United States,2025-02-12,Active
POS00068,CLI0016,SEC031,REI,747.37,201613.05,211520.66,-9907.61,Real Estate,Canada,2025-04-22,Active
POS00069,CLI0016,SEC016,JNJ,904.7,47195.62,67608.23,-20412.61,US Equity,United States,2025-01-28,Pending Settlement
POS00070,CLI0016,SEC044,POW,842.09,611155.03,405491.6,205663.43,Canadian Equity,Canada,2024-12-01,Pending Settlement
POS00071,CLI0017,SEC013,NVDA,1991.98,698373.69,470246.72,228126.97,US Equity,United States,2025-05-24,Active
POS00072,CLI0017,SEC049,VEA,1891.01,756864.47,482585.75,274278.72,International Equity,United States,2024-08-08,Active
POS00073,CLI0017,SEC011,AAPL,106.83,18766.75,15412.36,3354.39,US Equity,United States,2025-10-31,Active
POS00074,CLI0017,SEC032,CRT,578.64,3938.63,5236.69,-1298.06,Real Estate,Canada,2024-05-17,Pending Settlement
POS00075,CLI0018,SEC049,VEA,807.16,193609.35,231889.0,-38279.65,International Equity,United States,2025-07-20,Active
POS00076,CLI0018,SEC026,CAN.GOV.2Y,778.83,208116.6,177518.72,30597.88,Fixed Income,Canada,2025-09-30,Active
POS00077,CLI0018,SEC024,NOVO,246.43,123085.82,120176.52,2909.3,International Equity,Denmark,2024-12-13,Active
POS00078,CLI0018,SEC003,BNS,737.56,68887.36,56356.96,12530.4,Canadian Equity,Canada,2025-02-15,Active
POS00079,CLI0019,SEC003,BNS,1430.05,658868.07,576252.95,82615.12,Canadian Equity,Canada,2024-06-01,Active
POS00080,CLI0019,SEC009,TRI,1035.86,213627.76,173340.81,40286.95,Canadian Equity,Canada,2024-06-15,Active
POS00081,CLI0020,SEC048,XAW,1069.36,355701.49,380510.37,-24808.88,International Equity,Canada,2024-01-18,Active
POS00082,CLI0020,SEC020,PG,1350.87,797382.86,661993.84,135389.02,US Equity,United States,2025-12-05,Active
POS00083,CLI0020,SEC038,FTS,1197.85,208021.49,163434.65,44586.84,Infrastructure,Canada,2025-08-15,Active
POS00084,CLI0020,SEC022,SAP,1445.59,344909.25,424772.17,-79862.92,International Equity,Germany,2025-10-06,Active
POS00085,CLI0020,SEC033,AP,1551.47,428785.05,299728.49,129056.56,Real Estate,Canada,2024-09-05,Active
POS00086,CLI0020,SEC046,BAM,1896.93,75267.59,112677.64,-37410.05,Canadian Equity,Canada,2024-11-17,Active
POS00087,CLI0021,SEC045,GWO,1226.84,425908.13,292527.73,133380.4,Canadian Equity,Canada,2024-03-04,Active
POS00088,CLI0021,SEC014,AMZN,1042.18,470773.53,294561.76,176211.77,US Equity,United States,2025-05-04,Active
POS00089,CLI0021,SEC027,CAN.GOV.10Y,634.37,87285.3,57556.39,29728.91,Fixed Income,Canada,2024-12-16,Active
POS00090,CLI0021,SEC033,AP,1354.98,763405.1,588725.26,174679.84,Real Estate,Canada,2025-12-10,Active
POS00091,CLI0021,SEC050,ZRE,973.52,426598.47,466199.26,-39600.79,Real Estate,Canada,2024-11-01,Active
POS00092,CLI0022,SEC050,ZRE,1383.58,377997.13,341827.27,36169.86,Real Estate,Canada,2025-07-27,Pending Settlement
POS00093,CLI0022,SEC019,UNH,1592.86,171208.46,223573.83,-52365.37,US Equity,United States,2025-11-23,Active
POS00094,CLI0022,SEC046,BAM,1792.56,351089.32,359031.84,-7942.52,Canadian Equity,Canada,2024-05-29,Active
POS00095,CLI0022,SEC014,AMZN,582.38,204408.25,208783.23,-4374.98,US Equity,United States,2025-03-28,Active
POS00096,CLI0023,SEC014,AMZN,1395.38,125703.44,101792.97,23910.47,US Equity,United States,2025-08-23,Active
POS00097,CLI0023,SEC013,NVDA,111.02,43478.57,50299.83,-6821.26,US Equity,United States,2024-08-26,Active
POS00098,CLI0023,SEC035,AQN,832.47,223479.45,299764.12,-76284.67,Infrastructure,Canada,2024-05-20,Active
POS00099,CLI0023,SEC018,V,1105.2,532593.35,513807.48,18785.87,US Equity,United States,2025-05-02,Active
POS00100,CLI0023,SEC036,BIP,406.92,187385.2,196192.41,-8807.21,Infrastructure,Canada,2025-10-23,Active
POS00101,CLI0024,SEC042,MFC,472.12,255105.17,174991.28,80113.89,Canadian Equity,Canada,2024-02-08,Pending Settlement
POS00102,CLI0024,SEC037,TRP,358.38,129331.01,158300.03,-28969.02,Infrastructure,Canada,2024-02-07,Closed
POS00103,CLI0025,SEC032,CRT,28.44,6119.12,8137.82,-2018.7,Real Estate,Canada,2024-12-09,Active
POS00104,CLI0025,SEC012,MSFT,1978.31,606524.24,541918.46,64605.78,US Equity,United States,2024-05-17,Pending Settlement
POS00105,CLI0025,SEC048,XAW,941.36,71575.87,94550.2,-22974.33,International Equity,Canada,2024-06-15,Active
POS00106,CLI0025,SEC019,UNH,1300.09,311095.67,468955.46,-157859.79,US Equity,United States,2024-12-11,Active
POS00107,CLI0025,SEC003,BNS,1139.88,353626.29,432983.42,-79357.13,Canadian Equity,Canada,2025-10-16,Pending Settlement
POS00108,CLI0026,SEC033,AP,199.82,108258.72,98097.63,10161.09,Real Estate,Canada,2024-09-11,Active
POS00109,CLI0026,SEC021,NESN,773.31,158019.06,174868.59,-16849.53,International Equity,Switzerland,2024-12-03,Active
POS00110,CLI0026,SEC006,CNQ,1448.54,19626.06,15441.44,4184.62,Canadian Equity,Canada,2025-12-10,Active
POS00111,CLI0026,SEC026,CAN.GOV.2Y,1338.89,252653.12,315134.54,-62481.42,Fixed Income,Canada,2025-12-03,Active
POS00112,CLI0026,SEC043,SLF,1791.29,598259.1,632791.11,-34532.01,Canadian Equity,Canada,2024-04-30,Active
POS00113,CLI0027,SEC024,NOVO,961.58,351837.18,221365.33,130471.85,International Equity,Denmark,2025-01-17,Active
POS00114,CLI0027,SEC040,HBF,1102.98,304756.01,262575.42,42180.59,Alternatives,Canada,2025-11-11,Active
POS00115,CLI0027,SEC015,JPM,1526.1,634247.83,521575.2,112672.63,US Equity,United States,2024-03-24,Active
POS00116,CLI0027,SEC009,TRI,1061.06,297156.3,195319.92,101836.38,Canadian Equity,Canada,2024-04-24,Active
POS00117,CLI0028,SEC033,AP,662.95,132368.3,174070.78,-41702.48,Real Estate,Canada,2024-07-29,Active
POS00118,CLI0028,SEC013,NVDA,982.77,474569.99,442197.36,32372.63,US Equity,United States,2024-02-26,Active
POS00119,CLI0028,SEC037,TRP,1031.36,168013.61,238367.92,-70354.31,Infrastructure,Canada,2025-04-18,Active
POS00120,CLI0028,SEC035,AQN,623.26,8770.24,9835.04,-1064.8,Infrastructure,Canada,2024-01-04,Active
POS00121,CLI0028,SEC010,BCE,1160.84,31107.76,31830.23,-722.47,Canadian Equity,Canada,2024-03-06,Active
POS00122,CLI0028,SEC011,AAPL,129.91,92278.8,58152.91,34125.89,US Equity,United States,2025-04-28,Active
POS00123,CLI0029,SEC012,MSFT,1295.3,439731.02,276002.52,163728.5,US Equity,United States,2025-01-26,Active
POS00124,CLI0029,SEC050,ZRE,1835.06,255689.78,352074.61,-96384.83,Real Estate,Canada,2025-11-08,Pending Settlement
POS00125,CLI0029,SEC009,TRI,274.65,90250.63,118330.21,-28079.58,Canadian Equity,Canada,2025-07-04,Active
POS00126,CLI0029,SEC042,MFC,263.42,186065.31,128936.19,57129.12,Canadian Equity,Canada,2024-01-24,Closed
POS00127,CLI0029,SEC047,CASH.ETF,931.38,353972.89,336181.61,17791.28,Cash,Canada,2025-01-23,Active
POS00128,CLI0030,SEC030,HYG,558.54,350713.52,261966.43,88747.09,Fixed Income,United States,2024-04-25,Active
POS00129,CLI0030,SEC023,SHEL,1323.79,630498.7,409567.39,220931.31,International Equity,United Kingdom,2024-01-17,Active
POS00130,CLI0030,SEC010,BCE,143.91,46218.36,43029.09,3189.27,Canadian Equity,Canada,2025-11-19,Active
POS00131,CLI0031,SEC016,JNJ,98.03,25338.07,21791.09,3546.98,US Equity,United States,2024-02-27,Active
POS00132,CLI0031,SEC048,XAW,1987.03,365321.4,240251.8,125069.6,International Equity,Canada,2025-08-12,Active
POS00133,CLI0032,SEC050,ZRE,1971.53,540788.46,518551.82,22236.64,Real Estate,Canada,2024-10-08,Active
POS00134,CLI0032,SEC044,POW,1897.56,1267070.69,835799.28,431271.41,Canadian Equity,Canada,2025-10-03,Active
POS00135,CLI0032,SEC021,NESN,1116.14,30768.24,31486.31,-718.07,International Equity,Switzerland,2025-10-20,Active
POS00136,CLI0032,SEC016,JNJ,1573.75,267816.69,256159.29,11657.4,US Equity,United States,2024-06-01,Active
POS00137,CLI0032,SEC020,PG,375.92,89628.57,101975.82,-12347.25,US Equity,United States,2024-08-18,Active
POS00138,CLI0032,SEC010,BCE,1418.08,869942.45,572705.79,297236.66,Canadian Equity,Canada,2025-07-29,Active
POS00139,CLI0033,SEC036,BIP,517.44,63214.45,87178.29,-23963.84,Infrastructure,Canada,2025-04-05,Active
POS00140,CLI0033,SEC034,IIP,194.0,58625.7,70551.98,-11926.28,Real Estate,Canada,2024-10-01,Active
POS00141,CLI0033,SEC009,TRI,1213.89,21457.43,29837.42,-8379.99,Canadian Equity,Canada,2025-08-24,Active
POS00142,CLI0033,SEC025,ASML,1122.11,401305.62,271887.25,129418.37,International Equity,Netherlands,2024-12-06,Active
POS00143,CLI0033,SEC016,JNJ,1818.9,165928.42,199787.98,-33859.56,US Equity,United States,2024-04-30,Active
POS00144,CLI0034,SEC016,JNJ,799.3,94301.27,98689.57,-4388.3,US Equity,United States,2024-10-16,Active
POS00145,CLI0034,SEC045,GWO,1071.96,176090.6,195986.45,-19895.85,Canadian Equity,Canada,2025-06-09,Pending Settlement
POS00146,CLI0034,SEC039,GOLD.ETF,937.35,504023.31,377180.27,126843.04,Alternatives,Canada,2024-11-23,Pending Settlement
POS00147,CLI0034,SEC046,BAM,747.7,185882.14,156942.23,28939.91,Canadian Equity,Canada,2024-08-14,Active
POS00148,CLI0034,SEC014,AMZN,42.28,14206.72,11791.47,2415.25,US Equity,United States,2025-03-03,Active
POS00149,CLI0035,SEC022,SAP,1143.88,169937.9,144860.96,25076.94,International Equity,Germany,2025-12-02,Active
POS00150,CLI0035,SEC015,JPM,1529.09,504842.85,377486.45,127356.4,US Equity,United States,2025-05-17,Active
POS00151,CLI0035,SEC025,ASML,1468.22,206150.31,263295.89,-57145.58,International Equity,Netherlands,2025-07-13,Active
POS00152,CLI0036,SEC042,MFC,106.54,678.64,869.37,-190.73,Canadian Equity,Canada,2025-10-07,Active
POS00153,CLI0036,SEC004,BMO,1417.27,15268.46,13506.58,1761.88,Canadian Equity,Canada,2025-01-17,Active
POS00154,CLI0036,SEC034,IIP,1279.08,906761.52,597688.5,309073.02,Real Estate,Canada,2025-11-06,Active
POS00155,CLI0036,SEC003,BNS,23.16,4258.42,6439.87,-2181.45,Canadian Equity,Canada,2025-06-26,Active
POS00156,CLI0036,SEC005,ENB,1076.12,178187.21,158092.79,20094.42,Canadian Equity,Canada,2025-12-15,Active
POS00157,CLI0036,SEC043,SLF,1614.27,552505.57,735041.7,-182536.13,Canadian Equity,Canada,2024-04-08,Active
POS00158,CLI0037,SEC013,NVDA,512.31,129904.63,92446.34,37458.29,US Equity,United States,2024-03-21,Active
POS00159,CLI0037,SEC040,HBF,817.99,370423.95,232865.39,137558.56,Alternatives,Canada,2024-08-19,Active
POS00160,CLI0037,SEC034,IIP,1657.84,118536.89,74453.59,44083.3,Real Estate,Canada,2025-10-27,Active
POS00161,CLI0038,SEC026,CAN.GOV.2Y,760.57,229659.13,183008.35,46650.78,Fixed Income,Canada,2025-12-20,Active
POS00162,CLI0038,SEC025,ASML,1004.72,308089.02,220827.41,87261.61,International Equity,Netherlands,2025-08-02,Closed
POS00163,CLI0039,SEC034,IIP,467.24,275639.2,210785.98,64853.22,Real Estate,Canada,2025-08-03,Active
POS00164,CLI0039,SEC003,BNS,102.66,6562.54,4291.19,2271.35,Canadian Equity,Canada,2025-07-10,Active
POS00165,CLI0040,SEC012,MSFT,41.16,3483.46,4426.35,-942.89,US Equity,United States,2025-12-30,Active
POS00166,CLI0040,SEC021,NESN,1858.46,337472.79,284604.56,52868.23,International Equity,Switzerland,2025-08-03,Active
POS00167,CLI0041,SEC044,POW,1482.09,766403.68,587352.27,179051.41,Canadian Equity,Canada,2024-03-21,Active
POS00168,CLI0041,SEC035,AQN,1948.9,65561.16,61546.26,4014.9,Infrastructure,Canada,2024-03-18,Active
POS00169,CLI0041,SEC022,SAP,1540.32,755501.47,735733.85,19767.62,International Equity,Germany,2024-11-30,Active
POS00170,CLI0041,SEC025,ASML,553.92,306838.8,274927.11,31911.69,International Equity,Netherlands,2024-12-30,Active
POS00171,CLI0041,SEC049,VEA,757.1,88554.95,73393.27,15161.68,International Equity,United States,2025-01-24,Active
POS00172,CLI0042,SEC019,UNH,316.9,141777.29,113222.03,28555.26,US Equity,United States,2025-02-02,Active
POS00173,CLI0042,SEC016,JNJ,222.04,1584.79,1680.84,-96.05,US Equity,United States,2025-01-03,Active
POS00174,CLI0042,SEC046,BAM,213.44,10901.48,10289.94,611.54,Canadian Equity,Canada,2025-07-24,Active
POS00175,CLI0042,SEC005,ENB,822.01,14592.27,14796.18,-203.91,Canadian Equity,Canada,2024-04-05,Active
POS00176,CLI0042,SEC006,CNQ,1571.03,449663.22,679533.32,-229870.1,Canadian Equity,Canada,2025-02-27,Active
POS00177,CLI0042,SEC018,V,178.55,121606.25,80536.76,41069.49,US Equity,United States,2024-09-05,Active
POS00178,CLI0043,SEC044,POW,286.29,49330.96,44105.84,5225.12,Canadian Equity,Canada,2024-03-05,Active
POS00179,CLI0043,SEC025,ASML,559.16,119514.93,85763.96,33750.97,International Equity,Netherlands,2025-01-04,Active
POS00180,CLI0043,SEC011,AAPL,500.71,191123.99,157418.22,33705.77,US Equity,United States,2024-07-19,Active
POS00181,CLI0044,SEC020,PG,671.11,296045.59,209386.32,86659.27,US Equity,United States,2024-12-03,Active
POS00182,CLI0044,SEC001,RY,866.93,453786.13,357738.66,96047.47,Canadian Equity,Canada,2025-08-31,Active
POS00183,CLI0044,SEC026,CAN.GOV.2Y,648.12,258249.47,307144.07,-48894.6,Fixed Income,Canada,2024-11-17,Active
POS00184,CLI0045,SEC021,NESN,987.1,252046.82,286318.23,-34271.41,International Equity,Switzerland,2025-01-20,Active
POS00185,CLI0045,SEC019,UNH,1573.87,448718.07,292236.18,156481.89,US Equity,United States,2024-07-23,Active
POS00186,CLI0045,SEC048,XAW,1095.8,440023.84,375256.71,64767.13,International Equity,Canada,2025-04-17,Pending Settlement
POS00187,CLI0045,SEC045,GWO,427.2,245926.71,170815.92,75110.79,Canadian Equity,Canada,2024-03-11,Active
POS00188,CLI0045,SEC041,GSY,1593.36,371784.86,330670.0,41114.86,Canadian Equity,Canada,2025-10-10,Active
POS00189,CLI0046,SEC043,SLF,1580.26,104626.49,65754.62,38871.87,Canadian Equity,Canada,2025-05-05,Active
POS00190,CLI0046,SEC010,BCE,1073.39,732238.9,496045.72,236193.18,Canadian Equity,Canada,2025-03-04,Active
POS00191,CLI0046,SEC046,BAM,1583.53,434818.2,289738.48,145079.72,Canadian Equity,Canada,2025-07-03,Active
POS00192,CLI0046,SEC028,PROV.ON.5Y,1829.66,95851.06,108206.09,-12355.03,Fixed Income,Canada,2025-11-11,Active
POS00193,CLI0047,SEC003,BNS,1933.95,460051.5,327108.3,132943.2,Canadian Equity,Canada,2024-04-18,Active
POS00194,CLI0047,SEC037,TRP,524.89,154635.69,135306.14,19329.55,Infrastructure,Canada,2025-08-17,Active
POS00195,CLI0047,SEC042,MFC,449.85,93249.4,85556.97,7692.43,Canadian Equity,Canada,2025-11-26,Active
POS00196,CLI0047,SEC044,POW,1005.93,119047.06,176802.26,-57755.2,Canadian Equity,Canada,2024-04-17,Active
POS00197,CLI0047,SEC048,XAW,1841.89,125963.57,87489.78,38473.79,International Equity,Canada,2024-05-25,Active
POS00198,CLI0047,SEC026,CAN.GOV.2Y,692.7,311887.27,272376.57,39510.7,Fixed Income,Canada,2024-12-22,Active
POS00199,CLI0048,SEC047,CASH.ETF,607.53,187312.9,246681.48,-59368.58,Cash,Canada,2024-12-17,Active
POS00200,CLI0048,SEC045,GWO,1357.51,185782.25,117234.56,68547.69,Canadian Equity,Canada,2024-09-06,Active
POS00201,CLI0048,SEC029,CORP.BOND.A,1108.3,197426.79,187125.37,10301.42,Fixed Income,Canada,2025-04-18,Active
POS00202,CLI0048,SEC021,NESN,816.04,98895.24,78584.65,20310.59,International Equity,Switzerland,2025-03-18,Active
POS00203,CLI0048,SEC005,ENB,1477.4,703562.36,653202.86,50359.5,Canadian Equity,Canada,2025-03-15,Active
POS00204,CLI0049,SEC014,AMZN,1410.48,674516.49,562809.73,111706.76,US Equity,United States,2025-07-03,Active
POS00205,CLI0049,SEC018,V,658.71,137119.76,152484.78,-15365.02,US Equity,United States,2025-05-16,Active
POS00206,CLI0049,SEC049,VEA,1281.83,474069.79,385189.91,88879.88,International Equity,United States,2025-08-24,Active
POS00207,CLI0050,SEC030,HYG,1414.92,265761.12,215407.42,50353.7,Fixed Income,United States,2024-03-27,Active
POS00208,CLI0050,SEC040,HBF,633.24,59324.44,77945.51,-18621.07,Alternatives,Canada,2025-01-17,Active
POS00209,CLI0050,SEC012,MSFT,1026.54,169984.66,217657.28,-47672.62,US Equity,United States,2025-01-27,Active
POS00210,CLI0050,SEC044,POW,978.47,403900.67,265165.37,138735.3,Canadian Equity,Canada,2024-06-26,Active
POS00211,CLI0051,SEC019,UNH,1242.63,837108.28,538593.12,298515.16,US Equity,United States,2025-05-11,Active
POS00212,CLI0051,SEC009,TRI,1632.28,889352.8,786922.19,102430.61,Canadian Equity,Canada,2025-05-21,Active
POS00213,CLI0051,SEC012,MSFT,988.53,377685.61,352430.72,25254.89,US Equity,United States,2024-06-20,Active
POS00214,CLI0051,SEC021,NESN,71.41,25281.98,27258.63,-1976.65,International Equity,Switzerland,2024-10-08,Active
POS00215,CLI0051,SEC029,CORP.BOND.A,584.45,271663.42,228794.64,42868.78,Fixed Income,Canada,2025-05-22,Active
POS00216,CLI0052,SEC037,TRP,543.1,236669.39,148722.5,87946.89,Infrastructure,Canada,2025-07-09,Active
POS00217,CLI0052,SEC008,CP,92.8,39152.78,33491.52,5661.26,Canadian Equity,Canada,2025-03-11,Active
POS00218,CLI0053,SEC020,PG,533.0,168611.34,230144.07,-61532.73,US Equity,United States,2024-04-30,Active
POS00219,CLI0053,SEC003,BNS,481.52,236438.27,195641.58,40796.69,Canadian Equity,Canada,2024-12-25,Pending Settlement
POS00220,CLI0053,SEC029,CORP.BOND.A,1224.42,328138.98,265625.67,62513.31,Fixed Income,Canada,2024-07-30,Active
POS00221,CLI0054,SEC037,TRP,1069.24,260193.07,321242.47,-61049.4,Infrastructure,Canada,2025-12-21,Active
POS00222,CLI0054,SEC023,SHEL,1149.74,623756.36,547782.13,75974.23,International Equity,United Kingdom,2025-11-26,Active
POS00223,CLI0055,SEC049,VEA,1985.05,664123.08,861888.86,-197765.78,International Equity,United States,2024-05-15,Active
POS00224,CLI0055,SEC027,CAN.GOV.10Y,1425.68,812777.75,591799.77,220977.98,Fixed Income,Canada,2025-11-23,Active
